"","ttt","arrivalrate","avgnum","tlength","dwelltime"
"1","C",0.106508875739645,2.63905325443787,169,24.7777777777778
"2","PP",0.242424242424242,4.0969696969697,165,16.9
"3","D",0.157303370786517,3.26404494382022,178,20.75
"4","QQ",0.191860465116279,8.1046511627907,172,42.2424242424242
"5","RR",0.155688622754491,8.1437125748503,167,52.3076923076923
"6","SS",0.145348837209302,3.15116279069767,172,21.68
"7","TT",0.146198830409357,3.66666666666667,171,25.08
"8","UU",0.0914634146341463,1.5,164,16.4
"9","VV",0.094017094017094,4.41025641025641,117,46.9090909090909
"10","WW",0.106741573033708,3.6685393258427,178,34.3684210526316
"11","XX",0.224852071005917,7.68047337278106,169,34.1578947368421
"12","III",0.312138728323699,7.45086705202312,173,23.8703703703704
"13","JJJ",0.1875,5.51704545454545,176,29.4242424242424
"14","KKK",0.275,6.35,160,23.0909090909091
"15","E",0.106870229007634,2.13740458015267,131,20
"16","LLL",0.168674698795181,1.71084337349398,166,10.1428571428571
"17","MMM",0.108108108108108,2.36936936936937,111,21.9166666666667
"18","NNN",0.28169014084507,6.40140845070423,142,22.725
"19","OOO",0.0897435897435897,2.64102564102564,156,29.4285714285714
"20","F",0.12280701754386,1.74853801169591,171,14.2380952380952
"21","PPP",0.290697674418605,7.47674418604651,86,25.72
"22","YYY",0.120481927710843,2.95180722891566,166,24.5
"23","ZZZ",0.340909090909091,4.51704545454545,176,13.25
"24","A",0.181818181818182,5.3030303030303,165,29.1666666666667
"25","AAAA",0.120300751879699,5.29323308270677,133,44
"26","BBBB",0.159722222222222,4.04861111111111,144,25.3478260869565
"27","CCCC",0.0952380952380952,2.11111111111111,126,22.1666666666667
"28","DDDD",0.122699386503067,2.91411042944785,163,23.75
"29","EEEE",0.0365853658536585,0.24390243902439,82,6.66666666666667
"30","G",0.175141242937853,4.67796610169492,177,26.7096774193548
"31","H",0.197530864197531,6.04320987654321,162,30.59375
"32","NNNN",0.158823529411765,10.8764705882353,170,68.4814814814815
"33","OOOO",0.125748502994012,4.20958083832335,167,33.4761904761905
"34","PPPP",0.1875,8.02272727272727,176,42.7878787878788
"35","QQQQ",0.124260355029586,6.56213017751479,169,52.8095238095238
"36","B",0.2265625,5.1875,128,22.8965517241379
"37","V",0.187134502923977,4.25146198830409,171,22.71875
"38","W",0.186046511627907,5.97093023255814,172,32.09375
"39","X",0.195121951219512,10.2865853658537,164,52.71875
"40","Y",0.251461988304094,6.3859649122807,171,25.3953488372093
"41","Z",0.0963855421686747,1.34939759036145,166,14
"42","AA",0.157407407407407,3.30555555555556,108,21
"43","BB",0.150837988826816,4.44134078212291,179,29.4444444444444
"44","CC",0.0705882352941176,1.44705882352941,170,20.5
